iter	Logloss
0	0.6719225046
1	0.6509894578
2	0.6331899885
3	0.616614345
4	0.6019603662
5	0.5874021411
6	0.5741302396
7	0.5633219521
8	0.5514092703
9	0.5409449468
10	0.530688961
11	0.521592652
12	0.5130939587
13	0.5042375769
14	0.4970942703
15	0.4897677881
16	0.4828187491
17	0.4766791682
18	0.4705231826
19	0.4649867094
20	0.4593921191
21	0.454399403
22	0.4493815572
23	0.444905919
24	0.4406682654
25	0.4368306179
26	0.4330425026
27	0.4295381847
28	0.4257046271
29	0.4221881713
30	0.4185658523
31	0.4153681506
32	0.4124108734
33	0.4094993624
34	0.4068429145
35	0.4044529908
36	0.4015578441
37	0.3993088813
38	0.3969311557
39	0.3948594743
40	0.392962234
41	0.3902814488
42	0.3885924433
43	0.3863195909
44	0.3838715205
45	0.381969843
46	0.3795429466
47	0.3777625827
48	0.3758850478
49	0.3738115131
50	0.3724009208
51	0.3712881692
52	0.369522346
53	0.3683945326
54	0.3664866382
55	0.3651607304
56	0.3641126685
57	0.3627565627
58	0.3617115473
59	0.3606571738
60	0.3595877401
61	0.3585601941
62	0.357297727
63	0.3561872935
64	0.3550656808
65	0.3539310206
66	0.352498145
67	0.3513605701
68	0.3502402664
69	0.3494850603
70	0.3483640003
71	0.3470108388
72	0.3458031081
73	0.3449510776
74	0.344146264
75	0.3431746403
76	0.3424252435
77	0.3411591268
78	0.3402599657
79	0.3394317372
80	0.3384849496
81	0.3377933163
82	0.3369022796
83	0.3360654225
84	0.3356112287
85	0.3347760348
86	0.3338318959
87	0.3330552904
88	0.3319685614
