iter	Passed	Remaining
0	1	140
1	2	121
2	3	109
3	4	102
4	5	97
5	7	97
6	8	94
7	9	91
8	10	89
9	11	87
10	12	87
11	13	85
12	14	83
13	15	82
14	16	80
15	17	80
16	18	78
17	19	77
18	20	75
19	21	74
20	22	74
21	24	73
22	25	72
23	26	72
24	28	71
25	29	70
26	30	69
27	31	67
28	32	66
29	33	65
30	34	64
31	35	62
32	36	61
33	37	60
34	38	59
35	39	58
36	40	57
37	41	56
38	42	54
39	44	54
40	45	53
41	47	52
42	48	51
43	49	50
44	51	50
45	52	49
46	53	47
47	55	47
48	56	46
49	57	44
50	58	43
51	59	42
52	60	41
53	61	40
54	62	38
55	63	37
56	65	36
57	66	35
58	67	34
59	68	33
60	69	31
61	70	30
62	71	29
63	72	28
64	73	27
65	74	26
66	75	24
67	77	23
68	78	22
69	79	21
70	80	20
71	81	19
72	82	18
73	83	16
74	84	15
75	86	14
76	87	13
77	88	12
78	89	11
79	90	10
80	91	9
81	93	7
82	94	6
83	95	5
84	96	4
85	97	3
86	98	2
87	99	1
88	100	0
